"id","round_number","participant_id","article","main_article_stable_id","main_article_title","main_topic","rec0_stable_id","rec0_title","rec0_likelihood","rec0_preference_fit","rec0_constructive","rec0_understandable","rec0_trustworthy","rec0_relevant","rec1_stable_id","rec1_title","rec1_likelihood","rec1_preference_fit","rec1_constructive","rec1_understandable","rec1_trustworthy","rec1_relevant","rec0_topic","rec1_topic","rec0_label_text","rec1_label_text","label_understandable","label_useful","label_influenced","label_attention","label_more","rb_attention_check","selected_rec_stable_id","selected_rec_title","selected_rec_pos","changing_label_rec_pos"
28,1,14,"{""main_article_id"": 62, ""main_article_stable_id"": ""133138"", ""main_article_title"": ""Promising clinical trials in Alzheimer's prevention"", ""selected_recommendation_id"": 38, ""selected_recommendation_stable_id"": ""146472"", ""selected_recommendation_title"": ""A 'breakthrough' drug to prevent HIV, an 'unprecedented' rollout"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [38, 19], ""recommendations_labels"": {""19"": ""This article is trending right now:"", ""38"": ""You might also like this article:""}, ""recommendations_stable_ids"": [""146472"", ""143626""], ""recommendations_titles"": [""A 'breakthrough' drug to prevent HIV, an 'unprecedented' rollout"", ""New initiative aimed at preventing youth crime""], ""ratings"": {""likelihood_38"": ""5"", ""preference_fit_38"": ""5"", ""constructive_38"": """", ""understandable_38"": """", ""trustworthy_38"": """", ""relevant_38"": """", ""likelihood_19"": ""2"", ""preference_fit_19"": ""5"", ""constructive_19"": ""4"", ""understandable_19"": ""4"", ""trustworthy_19"": ""5"", ""relevant_19"": ""4"", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""4"", ""label_attention"": ""5"", ""label_more"": ""5"", ""rb_attention_check"": """"}}",133138,"Promising clinical trials in Alzheimer's prevention","Public Health",146472,"A 'breakthrough' drug to prevent HIV, an 'unprecedented' rollout",5,5,NA,NA,NA,NA,143626,"New initiative aimed at preventing youth crime",2,5,4,4,5,4,"Public Health","Crime","You might also like this article:","This article is trending right now:",4,4,4,5,5,NA,146472,"A 'breakthrough' drug to prevent HIV, an 'unprecedented' rollout",0,1
29,1,16,"{""main_article_id"": 63, ""main_article_stable_id"": ""133123"", ""main_article_title"": ""New Glenn launch: NASA's Escapade mission to Mars brings the next big test for Jeff Bezos' rocket"", ""selected_recommendation_id"": 5, ""selected_recommendation_stable_id"": ""141298"", ""selected_recommendation_title"": ""Atlanta families step up to save dogs during overcrowding crisis at local shelters"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 0, ""recommendations"": [5, 29], ""recommendations_labels"": {""29"": ""You might also like this article:"", ""5"": ""The information in this article has been fact-checked for accuracy:""}, ""recommendations_stable_ids"": [""141298"", ""144778""], ""recommendations_titles"": [""Atlanta families step up to save dogs during overcrowding crisis at local shelters"", ""Meta's Victory Opens the Way for Silicon Valley to Go Deal Shopping""], ""ratings"": {""likelihood_5"": ""3"", ""preference_fit_5"": ""3"", ""constructive_5"": ""4"", ""understandable_5"": ""4"", ""trustworthy_5"": ""5"", ""relevant_5"": ""4"", ""likelihood_29"": ""1"", ""preference_fit_29"": ""2"", ""constructive_29"": """", ""understandable_29"": """", ""trustworthy_29"": """", ""relevant_29"": """", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""4"", ""label_attention"": ""4"", ""label_more"": ""4"", ""rb_attention_check"": """"}}",133123,"New Glenn launch: NASA's Escapade mission to Mars brings the next big test for Jeff Bezos' rocket","Tech",141298,"Atlanta families step up to save dogs during overcrowding crisis at local shelters",3,3,4,4,5,4,144778,"Meta's Victory Opens the Way for Silicon Valley to Go Deal Shopping",1,2,NA,NA,NA,NA,"Lifestyle","Tech","The information in this article has been fact-checked for accuracy:","You might also like this article:",4,4,4,4,4,NA,141298,"Atlanta families step up to save dogs during overcrowding crisis at local shelters",0,0
30,2,14,"{""main_article_id"": 14, ""main_article_stable_id"": ""141456"", ""main_article_title"": ""Can SAD Lamps Help With Seasonal Depression?"", ""selected_recommendation_id"": 39, ""selected_recommendation_stable_id"": ""146568"", ""selected_recommendation_title"": ""Harlem residents roll up their sleeves as city's blood supply dips"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [17, 39], ""recommendations_labels"": {""17"": ""This article breaks the topic into key points without unnecessary details:"", ""39"": ""You might also like this article:""}, ""recommendations_stable_ids"": [""142917"", ""146568""], ""recommendations_titles"": [""Born with cerebral palsy, a Haverford woman shares her story of resilience in new book"", ""Harlem residents roll up their sleeves as city's blood supply dips""], ""ratings"": {""likelihood_17"": ""3"", ""preference_fit_17"": ""3"", ""constructive_17"": ""3"", ""understandable_17"": ""3"", ""trustworthy_17"": ""3"", ""relevant_17"": ""3"", ""likelihood_39"": ""5"", ""preference_fit_39"": ""3"", ""constructive_39"": """", ""understandable_39"": """", ""trustworthy_39"": """", ""relevant_39"": """", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""3"", ""label_attention"": ""4"", ""label_more"": ""5"", ""rb_attention_check"": ""1""}}",141456,"Can SAD Lamps Help With Seasonal Depression?","Personal Health",142917,"Born with cerebral palsy, a Haverford woman shares her story of resilience in new book",3,3,3,3,3,3,146568,"Harlem residents roll up their sleeves as city's blood supply dips",5,3,NA,NA,NA,NA,"Entertainment","Personal Health","This article breaks the topic into key points without unnecessary details:","You might also like this article:",4,4,3,4,5,1,146568,"Harlem residents roll up their sleeves as city's blood supply dips",1,0
31,1,17,"{""main_article_id"": 24, ""main_article_stable_id"": ""144200"", ""main_article_title"": ""Saudi Arabia wants to buy American chips. It could help propel the US in the AI race"", ""selected_recommendation_id"": 58, ""selected_recommendation_stable_id"": ""131266"", ""selected_recommendation_title"": ""EU agrees to relax green rules in farming subsidy reform"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [58, 22], ""recommendations_labels"": {""22"": ""You might also like this article:"", ""58"": ""You might also like this article:""}, ""recommendations_stable_ids"": [""131266"", ""143983""], ""recommendations_titles"": [""EU agrees to relax green rules in farming subsidy reform"", ""How Philadelphia is combating human trafficking with new $500K awareness initiative""], ""ratings"": {""likelihood_58"": ""5"", ""preference_fit_58"": ""5"", ""constructive_58"": """", ""understandable_58"": """", ""trustworthy_58"": """", ""relevant_58"": """", ""likelihood_22"": ""3"", ""preference_fit_22"": ""2"", ""constructive_22"": ""5"", ""understandable_22"": ""5"", ""trustworthy_22"": ""5"", ""relevant_22"": ""3"", ""label_understandable"": ""5"", ""label_useful"": ""5"", ""label_influenced"": ""5"", ""label_attention"": ""5"", ""label_more"": ""4"", ""rb_attention_check"": """"}}",144200,"Saudi Arabia wants to buy American chips. It could help propel the US in the AI race","International",131266,"EU agrees to relax green rules in farming subsidy reform",5,5,NA,NA,NA,NA,143983,"How Philadelphia is combating human trafficking with new $500K awareness initiative",3,2,5,5,5,3,"International","Crime","You might also like this article:","You might also like this article:",5,5,5,5,4,NA,131266,"EU agrees to relax green rules in farming subsidy reform",0,1
32,2,16,"{""main_article_id"": 64, ""main_article_stable_id"": ""139293"", ""main_article_title"": ""Top U.N. Official Pushing to Get Aid Into Stricken Sudanese City"", ""selected_recommendation_id"": 18, ""selected_recommendation_stable_id"": ""143388"", ""selected_recommendation_title"": ""Mamdani and Tisch Agreed to Work Together. Here's Where They Differ."", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [18, 3], ""recommendations_labels"": {""18"": ""You might also like this article:"", ""3"": ""You might also like this article:""}, ""recommendations_stable_ids"": [""143388"", ""139978""], ""recommendations_titles"": [""Mamdani and Tisch Agreed to Work Together. Here's Where They Differ."", ""Italy's light touch on inheritance tax comes at a cost, economists say""], ""ratings"": {""likelihood_18"": ""3"", ""preference_fit_18"": ""4"", ""constructive_18"": """", ""understandable_18"": """", ""trustworthy_18"": """", ""relevant_18"": """", ""likelihood_3"": ""1"", ""preference_fit_3"": ""4"", ""constructive_3"": ""5"", ""understandable_3"": ""4"", ""trustworthy_3"": ""5"", ""relevant_3"": ""5"", ""label_understandable"": ""3"", ""label_useful"": ""3"", ""label_influenced"": ""4"", ""label_attention"": ""2"", ""label_more"": ""2"", ""rb_attention_check"": ""1""}}",139293,"Top U.N. Official Pushing to Get Aid Into Stricken Sudanese City","Politics",143388,"Mamdani and Tisch Agreed to Work Together. Here's Where They Differ.",3,4,NA,NA,NA,NA,139978,"Italy's light touch on inheritance tax comes at a cost, economists say",1,4,5,4,5,5,"Politics","International","You might also like this article:","You might also like this article:",3,3,4,2,2,1,143388,"Mamdani and Tisch Agreed to Work Together. Here's Where They Differ.",0,1
33,2,17,"{""main_article_id"": 55, ""main_article_stable_id"": ""128859"", ""main_article_title"": ""Sports card shops are evolving \u2014 thanks in part to a Greek import"", ""selected_recommendation_id"": 5, ""selected_recommendation_stable_id"": ""141298"", ""selected_recommendation_title"": ""Atlanta families step up to save dogs during overcrowding crisis at local shelters"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [47, 5], ""recommendations_labels"": {""47"": ""This article's content focuses on solutions and constructive ways forward:"", ""5"": ""You might also like this article:""}, ""recommendations_stable_ids"": [""129659"", ""141298""], ""recommendations_titles"": [""\u2018Like Houdini': Another Caleb Williams magic trick rescues Bears in thrilling win"", ""Atlanta families step up to save dogs during overcrowding crisis at local shelters""], ""ratings"": {""likelihood_47"": ""1"", ""preference_fit_47"": ""1"", ""constructive_47"": ""4"", ""understandable_47"": ""4"", ""trustworthy_47"": ""4"", ""relevant_47"": ""1"", ""likelihood_5"": ""1"", ""preference_fit_5"": ""1"", ""constructive_5"": """", ""understandable_5"": """", ""trustworthy_5"": """", ""relevant_5"": """", ""label_understandable"": ""5"", ""label_useful"": ""5"", ""label_influenced"": ""1"", ""label_attention"": ""5"", ""label_more"": ""1"", ""rb_attention_check"": ""1""}}",128859,"Sports card shops are evolving — thanks in part to a Greek import","Lifestyle",129659,"‘Like Houdini': Another Caleb Williams magic trick rescues Bears in thrilling win",1,1,4,4,4,1,141298,"Atlanta families step up to save dogs during overcrowding crisis at local shelters",1,1,NA,NA,NA,NA,"Sports","Lifestyle","This article's content focuses on solutions and constructive ways forward:","You might also like this article:",5,5,1,5,1,1,141298,"Atlanta families step up to save dogs during overcrowding crisis at local shelters",1,0
34,1,18,"{""main_article_id"": 11, ""main_article_stable_id"": ""141442"", ""main_article_title"": ""SpaceX launches second international satellite to monitor sea level changes"", ""selected_recommendation_id"": 12, ""selected_recommendation_stable_id"": ""141488"", ""selected_recommendation_title"": ""Hydropower Is Getting Less Reliable as the World Needs More Energy"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [12, 45], ""recommendations_labels"": {""12"": ""You might also like this article:"", ""45"": ""The information in this article has been fact-checked for accuracy:""}, ""recommendations_stable_ids"": [""141488"", ""148260""], ""recommendations_titles"": [""Hydropower Is Getting Less Reliable as the World Needs More Energy"", ""Choreographer for Neil Diamond-inspired musical \""A Beautiful Noise\"" helping Parkinson's patients get moving""], ""ratings"": {""likelihood_12"": ""4"", ""preference_fit_12"": ""4"", ""constructive_12"": """", ""understandable_12"": """", ""trustworthy_12"": """", ""relevant_12"": """", ""likelihood_45"": ""3"", ""preference_fit_45"": ""1"", ""constructive_45"": ""1"", ""understandable_45"": ""1"", ""trustworthy_45"": ""1"", ""relevant_45"": ""1"", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""4"", ""label_attention"": ""4"", ""label_more"": ""4"", ""rb_attention_check"": """"}}",141442,"SpaceX launches second international satellite to monitor sea level changes","Science",141488,"Hydropower Is Getting Less Reliable as the World Needs More Energy",4,4,NA,NA,NA,NA,148260,"Choreographer for Neil Diamond-inspired musical ""A Beautiful Noise"" helping Parkinson's patients get moving",3,1,1,1,1,1,"Science","Entertainment","You might also like this article:","The information in this article has been fact-checked for accuracy:",4,4,4,4,4,NA,141488,"Hydropower Is Getting Less Reliable as the World Needs More Energy",0,1
35,2,18,"{""main_article_id"": 64, ""main_article_stable_id"": ""139293"", ""main_article_title"": ""Top U.N. Official Pushing to Get Aid Into Stricken Sudanese City"", ""selected_recommendation_id"": 19, ""selected_recommendation_stable_id"": ""143626"", ""selected_recommendation_title"": ""New initiative aimed at preventing youth crime"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 0, ""recommendations"": [19, 49], ""recommendations_labels"": {""19"": ""This article's content focuses on solutions and constructive ways forward:"", ""49"": ""You might also like this article:""}, ""recommendations_stable_ids"": [""143626"", ""131667""], ""recommendations_titles"": [""New initiative aimed at preventing youth crime"", ""Analysis: Many factors, not just Trump, contributed to BBC resignations""], ""ratings"": {""likelihood_19"": ""4"", ""preference_fit_19"": ""4"", ""constructive_19"": ""4"", ""understandable_19"": ""4"", ""trustworthy_19"": ""4"", ""relevant_19"": ""4"", ""likelihood_49"": ""1"", ""preference_fit_49"": ""4"", ""constructive_49"": """", ""understandable_49"": """", ""trustworthy_49"": """", ""relevant_49"": """", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""4"", ""label_attention"": ""4"", ""label_more"": ""4"", ""rb_attention_check"": ""1""}}",139293,"Top U.N. Official Pushing to Get Aid Into Stricken Sudanese City","Politics",143626,"New initiative aimed at preventing youth crime",4,4,4,4,4,4,131667,"Analysis: Many factors, not just Trump, contributed to BBC resignations",1,4,NA,NA,NA,NA,"Crime","Politics","This article's content focuses on solutions and constructive ways forward:","You might also like this article:",4,4,4,4,4,1,143626,"New initiative aimed at preventing youth crime",0,0
36,1,15,"{""main_article_id"": 49, ""main_article_stable_id"": ""131667"", ""main_article_title"": ""Analysis: Many factors, not just Trump, contributed to BBC resignations"", ""selected_recommendation_id"": 23, ""selected_recommendation_stable_id"": ""144012"", ""selected_recommendation_title"": ""Boulder County opens new alternative sentencing facility focused on rehabilitation"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 0, ""recommendations"": [23, 18], ""recommendations_labels"": {""18"": ""You might also like this article:"", ""23"": ""This article is recommended by 82% of readers your age in your region:""}, ""recommendations_stable_ids"": [""144012"", ""143388""], ""recommendations_titles"": [""Boulder County opens new alternative sentencing facility focused on rehabilitation"", ""Mamdani and Tisch Agreed to Work Together. Here's Where They Differ.""], ""ratings"": {""likelihood_23"": ""3"", ""preference_fit_23"": ""3"", ""constructive_23"": ""4"", ""understandable_23"": ""3"", ""trustworthy_23"": ""4"", ""relevant_23"": ""4"", ""likelihood_18"": ""3"", ""preference_fit_18"": ""4"", ""constructive_18"": """", ""understandable_18"": """", ""trustworthy_18"": """", ""relevant_18"": """", ""label_understandable"": ""4"", ""label_useful"": ""2"", ""label_influenced"": ""2"", ""label_attention"": ""5"", ""label_more"": ""2"", ""rb_attention_check"": """"}}",131667,"Analysis: Many factors, not just Trump, contributed to BBC resignations","Politics",144012,"Boulder County opens new alternative sentencing facility focused on rehabilitation",3,3,4,3,4,4,143388,"Mamdani and Tisch Agreed to Work Together. Here's Where They Differ.",3,4,NA,NA,NA,NA,"Crime","Politics","This article is recommended by 82% of readers your age in your region:","You might also like this article:",4,2,2,5,2,NA,144012,"Boulder County opens new alternative sentencing facility focused on rehabilitation",0,0
37,2,15,"{""main_article_id"": 39, ""main_article_stable_id"": ""146568"", ""main_article_title"": ""Harlem residents roll up their sleeves as city's blood supply dips"", ""selected_recommendation_id"": 40, ""selected_recommendation_stable_id"": ""146596"", ""selected_recommendation_title"": ""She cares for her aging parents full time. That requires taking care of herself, too"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [16, 40], ""recommendations_labels"": {""16"": ""This article breaks the topic into key points without unnecessary details:"", ""40"": ""You might also like this article:""}, ""recommendations_stable_ids"": [""142537"", ""146596""], ""recommendations_titles"": [""The Ashes 2025-26: Insight, analysis and a new signing for The Athletic"", ""She cares for her aging parents full time. That requires taking care of herself, too""], ""ratings"": {""likelihood_16"": ""1"", ""preference_fit_16"": ""1"", ""constructive_16"": ""1"", ""understandable_16"": ""1"", ""trustworthy_16"": ""5"", ""relevant_16"": ""3"", ""likelihood_40"": ""5"", ""preference_fit_40"": ""5"", ""constructive_40"": """", ""understandable_40"": """", ""trustworthy_40"": """", ""relevant_40"": """", ""label_understandable"": ""5"", ""label_useful"": ""4"", ""label_influenced"": ""1"", ""label_attention"": ""4"", ""label_more"": ""4"", ""rb_attention_check"": ""1""}}",146568,"Harlem residents roll up their sleeves as city's blood supply dips","Personal Health",142537,"The Ashes 2025-26: Insight, analysis and a new signing for The Athletic",1,1,1,1,5,3,146596,"She cares for her aging parents full time. That requires taking care of herself, too",5,5,NA,NA,NA,NA,"Sports","Personal Health","This article breaks the topic into key points without unnecessary details:","You might also like this article:",5,4,1,4,4,1,146596,"She cares for her aging parents full time. That requires taking care of herself, too",1,0
