"id","round_number","participant_id","article","main_article_stable_id","main_article_title","main_topic","rec0_stable_id","rec0_title","rec0_likelihood","rec0_preference_fit","rec0_constructive","rec0_understandable","rec0_trustworthy","rec0_relevant","rec1_stable_id","rec1_title","rec1_likelihood","rec1_preference_fit","rec1_constructive","rec1_understandable","rec1_trustworthy","rec1_relevant","rec0_topic","rec1_topic","rec0_label_text","rec1_label_text","label_understandable","label_useful","label_influenced","label_attention","label_more","rb_attention_check","selected_rec_stable_id","selected_rec_title","selected_rec_pos","changing_label_rec_pos","low_preference_fit","low_constructive","low_understandable","low_trustworthy","low_relevant","high_preference_fit","high_constructive","high_understandable","high_trustworthy","high_relevant"
333,1,177,"{""main_article_id"": 4, ""main_article_stable_id"": ""141220"", ""main_article_title"": ""Why Anthropic's AI Claude tried to contact the FBI in a test"", ""selected_recommendation_id"": 61, ""selected_recommendation_stable_id"": ""133294"", ""selected_recommendation_title"": ""Why a dementia village in the Netherlands is fueling hope in D.C."", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 1, ""recommendations"": [29, 61], ""recommendations_labels"": {""29"": """", ""61"": ""Breaks topic into key points without unnecessary details""}, ""recommendations_stable_ids"": [""144778"", ""133294""], ""recommendations_titles"": [""Meta's Victory Opens the Way for Silicon Valley to Go Deal Shopping"", ""Why a dementia village in the Netherlands is fueling hope in D.C.""], ""ratings"": {""likelihood_29"": ""3"", ""preference_fit_29"": ""4"", ""constructive_29"": ""3"", ""understandable_29"": ""4"", ""trustworthy_29"": ""3"", ""relevant_29"": ""2"", ""likelihood_61"": ""4"", ""preference_fit_61"": ""3"", ""constructive_61"": ""4"", ""understandable_61"": ""4"", ""trustworthy_61"": ""3"", ""relevant_61"": ""3"", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""5"", ""label_attention"": ""5"", ""label_more"": ""4"", ""rb_attention_check"": """", ""low_preference_fit"": ""3"", ""high_preference_fit"": ""4"", ""low_constructive"": ""4"", ""high_constructive"": ""3"", ""low_understandable"": ""4"", ""high_understandable"": ""4"", ""low_trustworthy"": ""3"", ""high_trustworthy"": ""3"", ""low_relevant"": ""3"", ""high_relevant"": ""2""}}",141220,"Why Anthropic's AI Claude tried to contact the FBI in a test","Tech",144778,"Meta's Victory Opens the Way for Silicon Valley to Go Deal Shopping",3,4,3,4,3,2,133294,"Why a dementia village in the Netherlands is fueling hope in D.C.",4,3,4,4,3,3,"Tech","Personal Health","","Breaks topic into key points without unnecessary details",4,4,5,5,4,NA,133294,"Why a dementia village in the Netherlands is fueling hope in D.C.",1,1,3,4,4,3,3,4,3,4,3,2
334,1,178,"{""main_article_id"": 1, ""main_article_stable_id"": ""139610"", ""main_article_title"": ""Poor Countries Got $1 Trillion From China. So Did Rich Ones."", ""selected_recommendation_id"": 0, ""selected_recommendation_stable_id"": ""139580"", ""selected_recommendation_title"": ""Fed's Jefferson Says Fed Should \u2018Proceed Slowly' With Any Further Easing"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [0, 62], ""recommendations_labels"": {""0"": """", ""62"": ""Focuses on solutions and constructive ways forward""}, ""recommendations_stable_ids"": [""139580"", ""133138""], ""recommendations_titles"": [""Fed's Jefferson Says Fed Should \u2018Proceed Slowly' With Any Further Easing"", ""Promising clinical trials in Alzheimer's prevention""], ""ratings"": {""likelihood_0"": ""4"", ""preference_fit_0"": ""5"", ""constructive_0"": ""5"", ""understandable_0"": ""5"", ""trustworthy_0"": ""5"", ""relevant_0"": ""5"", ""likelihood_62"": ""2"", ""preference_fit_62"": ""2"", ""constructive_62"": ""2"", ""understandable_62"": ""4"", ""trustworthy_62"": ""3"", ""relevant_62"": ""1"", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""3"", ""label_attention"": ""5"", ""label_more"": ""3"", ""rb_attention_check"": """", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""5"", ""low_constructive"": ""2"", ""high_constructive"": ""5"", ""low_understandable"": ""4"", ""high_understandable"": ""5"", ""low_trustworthy"": ""3"", ""high_trustworthy"": ""5"", ""low_relevant"": ""1"", ""high_relevant"": ""5""}}",139610,"Poor Countries Got $1 Trillion From China. So Did Rich Ones.","Economics",139580,"Fed's Jefferson Says Fed Should ‘Proceed Slowly' With Any Further Easing",4,5,5,5,5,5,133138,"Promising clinical trials in Alzheimer's prevention",2,2,2,4,3,1,"Economics","Public Health","","Focuses on solutions and constructive ways forward",4,4,3,5,3,NA,139580,"Fed's Jefferson Says Fed Should ‘Proceed Slowly' With Any Further Easing",0,1,2,2,4,3,1,5,5,5,5,5
335,2,177,"{""main_article_id"": 67, ""main_article_stable_id"": ""139775"", ""main_article_title"": ""EU options to finance Ukraine in 2026\u20132027"", ""selected_recommendation_id"": 24, ""selected_recommendation_stable_id"": ""144200"", ""selected_recommendation_title"": ""Saudi Arabia wants to buy American chips. It could help propel the US in the AI race"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [15, 24], ""recommendations_labels"": {""15"": """", ""24"": """"}, ""recommendations_stable_ids"": [""141689"", ""144200""], ""recommendations_titles"": [""A bill in Congress would return $5,000 to millions of family caregivers every year, but will it pass?"", ""Saudi Arabia wants to buy American chips. It could help propel the US in the AI race""], ""ratings"": {""likelihood_15"": ""2"", ""preference_fit_15"": ""3"", ""constructive_15"": ""4"", ""understandable_15"": ""4"", ""trustworthy_15"": ""4"", ""relevant_15"": ""4"", ""likelihood_24"": ""4"", ""preference_fit_24"": ""4"", ""constructive_24"": ""4"", ""understandable_24"": ""4"", ""trustworthy_24"": ""4"", ""relevant_24"": ""4"", ""label_understandable"": """", ""label_useful"": """", ""label_influenced"": """", ""label_attention"": """", ""label_more"": """", ""rb_attention_check"": ""1"", ""low_preference_fit"": ""3"", ""high_preference_fit"": ""4"", ""low_constructive"": ""4"", ""high_constructive"": ""4"", ""low_understandable"": ""4"", ""high_understandable"": ""4"", ""low_trustworthy"": ""4"", ""high_trustworthy"": ""4"", ""low_relevant"": ""4"", ""high_relevant"": ""4""}}",139775,"EU options to finance Ukraine in 2026–2027","International",141689,"A bill in Congress would return $5,000 to millions of family caregivers every year, but will it pass?",2,3,4,4,4,4,144200,"Saudi Arabia wants to buy American chips. It could help propel the US in the AI race",4,4,4,4,4,4,"Public Health","International","","",NA,NA,NA,NA,NA,1,144200,"Saudi Arabia wants to buy American chips. It could help propel the US in the AI race",1,0,3,4,4,4,4,4,4,4,4,4
336,1,180,"{""main_article_id"": 64, ""main_article_stable_id"": ""139293"", ""main_article_title"": ""Top U.N. Official Pushing to Get Aid Into Stricken Sudanese City"", ""selected_recommendation_id"": 66, ""selected_recommendation_stable_id"": ""139942"", ""selected_recommendation_title"": ""F1's plan for sluggish Vegas GP sales: Go bigger, cheaper and make \u2018a splash again'"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 1, ""recommendations"": [56, 66], ""recommendations_labels"": {""56"": """", ""66"": ""Trending right now""}, ""recommendations_stable_ids"": [""131990"", ""139942""], ""recommendations_titles"": [""It's been a dangerous decade since the Paris Climate Agreement, but there's still reason for hope"", ""F1's plan for sluggish Vegas GP sales: Go bigger, cheaper and make \u2018a splash again'""], ""ratings"": {""likelihood_56"": ""1"", ""preference_fit_56"": ""2"", ""constructive_56"": ""4"", ""understandable_56"": ""4"", ""trustworthy_56"": ""5"", ""relevant_56"": ""4"", ""likelihood_66"": ""5"", ""preference_fit_66"": ""5"", ""constructive_66"": ""2"", ""understandable_66"": ""5"", ""trustworthy_66"": ""5"", ""relevant_66"": ""1"", ""label_understandable"": ""5"", ""label_useful"": ""4"", ""label_influenced"": ""2"", ""label_attention"": ""2"", ""label_more"": ""3"", ""rb_attention_check"": """", ""low_preference_fit"": ""5"", ""high_preference_fit"": ""2"", ""low_constructive"": ""2"", ""high_constructive"": ""4"", ""low_understandable"": ""5"", ""high_understandable"": ""4"", ""low_trustworthy"": ""5"", ""high_trustworthy"": ""5"", ""low_relevant"": ""1"", ""high_relevant"": ""4""}}",139293,"Top U.N. Official Pushing to Get Aid Into Stricken Sudanese City","Politics",131990,"It's been a dangerous decade since the Paris Climate Agreement, but there's still reason for hope",1,2,4,4,5,4,139942,"F1's plan for sluggish Vegas GP sales: Go bigger, cheaper and make ‘a splash again'",5,5,2,5,5,1,"Politics","Finance","","Trending right now",5,4,2,2,3,NA,139942,"F1's plan for sluggish Vegas GP sales: Go bigger, cheaper and make ‘a splash again'",1,1,5,2,5,5,1,2,4,4,5,4
337,2,178,"{""main_article_id"": 29, ""main_article_stable_id"": ""144778"", ""main_article_title"": ""Meta's Victory Opens the Way for Silicon Valley to Go Deal Shopping"", ""selected_recommendation_id"": 63, ""selected_recommendation_stable_id"": ""133123"", ""selected_recommendation_title"": ""New Glenn launch: NASA's Escapade mission to Mars brings the next big test for Jeff Bezos' rocket"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [14, 63], ""recommendations_labels"": {""14"": ""Trending right now"", ""63"": """"}, ""recommendations_stable_ids"": [""141456"", ""133123""], ""recommendations_titles"": [""Can SAD Lamps Help With Seasonal Depression?"", ""New Glenn launch: NASA's Escapade mission to Mars brings the next big test for Jeff Bezos' rocket""], ""ratings"": {""likelihood_14"": ""1"", ""preference_fit_14"": ""2"", ""constructive_14"": ""2"", ""understandable_14"": ""4"", ""trustworthy_14"": ""3"", ""relevant_14"": ""3"", ""likelihood_63"": ""4"", ""preference_fit_63"": ""4"", ""constructive_63"": ""4"", ""understandable_63"": ""5"", ""trustworthy_63"": ""4"", ""relevant_63"": ""4"", ""label_understandable"": ""4"", ""label_useful"": ""2"", ""label_influenced"": ""3"", ""label_attention"": ""4"", ""label_more"": ""2"", ""rb_attention_check"": ""1"", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""4"", ""low_constructive"": ""2"", ""high_constructive"": ""4"", ""low_understandable"": ""4"", ""high_understandable"": ""5"", ""low_trustworthy"": ""3"", ""high_trustworthy"": ""4"", ""low_relevant"": ""3"", ""high_relevant"": ""4""}}",144778,"Meta's Victory Opens the Way for Silicon Valley to Go Deal Shopping","Tech",141456,"Can SAD Lamps Help With Seasonal Depression?",1,2,2,4,3,3,133123,"New Glenn launch: NASA's Escapade mission to Mars brings the next big test for Jeff Bezos' rocket",4,4,4,5,4,4,"Personal Health","Tech","Trending right now","",4,2,3,4,2,1,133123,"New Glenn launch: NASA's Escapade mission to Mars brings the next big test for Jeff Bezos' rocket",1,0,2,2,4,3,3,4,4,5,4,4
338,1,182,"{""main_article_id"": 52, ""main_article_stable_id"": ""130470"", ""main_article_title"": ""Sacramento launches new effort to help local musicians make money"", ""selected_recommendation_id"": 43, ""selected_recommendation_stable_id"": ""148070"", ""selected_recommendation_title"": ""George Clooney, Adam Sandler and Noah Baumbach on Fame and \u2018Jay Kelly'"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [16, 43], ""recommendations_labels"": {""16"": ""Fact-checked for accuracy"", ""43"": """"}, ""recommendations_stable_ids"": [""142537"", ""148070""], ""recommendations_titles"": [""The Ashes 2025-26: Insight, analysis and a new signing for The Athletic"", ""George Clooney, Adam Sandler and Noah Baumbach on Fame and \u2018Jay Kelly'""], ""ratings"": {""likelihood_16"": ""1"", ""preference_fit_16"": ""2"", ""constructive_16"": ""3"", ""understandable_16"": ""4"", ""trustworthy_16"": ""4"", ""relevant_16"": ""1"", ""likelihood_43"": ""2"", ""preference_fit_43"": ""2"", ""constructive_43"": ""4"", ""understandable_43"": ""4"", ""trustworthy_43"": ""4"", ""relevant_43"": ""2"", ""label_understandable"": ""4"", ""label_useful"": ""3"", ""label_influenced"": ""1"", ""label_attention"": ""2"", ""label_more"": ""1"", ""rb_attention_check"": """", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""2"", ""low_constructive"": ""3"", ""high_constructive"": ""4"", ""low_understandable"": ""4"", ""high_understandable"": ""4"", ""low_trustworthy"": ""4"", ""high_trustworthy"": ""4"", ""low_relevant"": ""1"", ""high_relevant"": ""2""}}",130470,"Sacramento launches new effort to help local musicians make money","Entertainment",142537,"The Ashes 2025-26: Insight, analysis and a new signing for The Athletic",1,2,3,4,4,1,148070,"George Clooney, Adam Sandler and Noah Baumbach on Fame and ‘Jay Kelly'",2,2,4,4,4,2,"Sports","Entertainment","Fact-checked for accuracy","",4,3,1,2,1,NA,148070,"George Clooney, Adam Sandler and Noah Baumbach on Fame and ‘Jay Kelly'",1,0,2,3,4,4,1,2,4,4,4,2
339,2,182,"{""main_article_id"": 52, ""main_article_stable_id"": ""130470"", ""main_article_title"": ""Sacramento launches new effort to help local musicians make money"", ""selected_recommendation_id"": 43, ""selected_recommendation_stable_id"": ""148070"", ""selected_recommendation_title"": ""George Clooney, Adam Sandler and Noah Baumbach on Fame and \u2018Jay Kelly'"", ""selected_recommendation_pos"": 1, ""changing_label_rec_pos"": 0, ""recommendations"": [16, 43], ""recommendations_labels"": {""16"": ""Fact-checked for accuracy"", ""43"": """"}, ""recommendations_stable_ids"": [""142537"", ""148070""], ""recommendations_titles"": [""The Ashes 2025-26: Insight, analysis and a new signing for The Athletic"", ""George Clooney, Adam Sandler and Noah Baumbach on Fame and \u2018Jay Kelly'""], ""ratings"": {""likelihood_16"": ""1"", ""preference_fit_16"": ""2"", ""constructive_16"": ""3"", ""understandable_16"": ""4"", ""trustworthy_16"": ""4"", ""relevant_16"": ""1"", ""likelihood_43"": ""2"", ""preference_fit_43"": ""2"", ""constructive_43"": ""4"", ""understandable_43"": ""4"", ""trustworthy_43"": ""4"", ""relevant_43"": ""2"", ""label_understandable"": ""4"", ""label_useful"": ""3"", ""label_influenced"": ""1"", ""label_attention"": ""2"", ""label_more"": ""1"", ""rb_attention_check"": """", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""2"", ""low_constructive"": ""3"", ""high_constructive"": ""4"", ""low_understandable"": ""4"", ""high_understandable"": ""4"", ""low_trustworthy"": ""4"", ""high_trustworthy"": ""4"", ""low_relevant"": ""1"", ""high_relevant"": ""2""}}",130470,"Sacramento launches new effort to help local musicians make money","Entertainment",142537,"The Ashes 2025-26: Insight, analysis and a new signing for The Athletic",1,2,3,4,4,1,148070,"George Clooney, Adam Sandler and Noah Baumbach on Fame and ‘Jay Kelly'",2,2,4,4,4,2,"Sports","Entertainment","Fact-checked for accuracy","",4,3,1,2,1,NA,148070,"George Clooney, Adam Sandler and Noah Baumbach on Fame and ‘Jay Kelly'",1,0,2,3,4,4,1,2,4,4,4,2
340,1,181,"{""main_article_id"": 55, ""main_article_stable_id"": ""128859"", ""main_article_title"": ""Sports card shops are evolving \u2014 thanks in part to a Greek import"", ""selected_recommendation_id"": 54, ""selected_recommendation_stable_id"": ""128849"", ""selected_recommendation_title"": ""How the Ross Park Mall is thriving in a landscape of dying malls"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [54, 63], ""recommendations_labels"": {""54"": """", ""63"": ""Fact-checked for accuracy""}, ""recommendations_stable_ids"": [""128849"", ""133123""], ""recommendations_titles"": [""How the Ross Park Mall is thriving in a landscape of dying malls"", ""New Glenn launch: NASA's Escapade mission to Mars brings the next big test for Jeff Bezos' rocket""], ""ratings"": {""likelihood_54"": ""2"", ""preference_fit_54"": ""4"", ""constructive_54"": ""4"", ""understandable_54"": ""4"", ""trustworthy_54"": ""4"", ""relevant_54"": ""3"", ""likelihood_63"": ""2"", ""preference_fit_63"": ""2"", ""constructive_63"": ""4"", ""understandable_63"": ""3"", ""trustworthy_63"": ""2"", ""relevant_63"": ""4"", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""3"", ""label_attention"": ""2"", ""label_more"": ""2"", ""rb_attention_check"": """", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""4"", ""low_constructive"": ""4"", ""high_constructive"": ""4"", ""low_understandable"": ""3"", ""high_understandable"": ""4"", ""low_trustworthy"": ""2"", ""high_trustworthy"": ""4"", ""low_relevant"": ""4"", ""high_relevant"": ""3""}}",128859,"Sports card shops are evolving — thanks in part to a Greek import","Lifestyle",128849,"How the Ross Park Mall is thriving in a landscape of dying malls",2,4,4,4,4,3,133123,"New Glenn launch: NASA's Escapade mission to Mars brings the next big test for Jeff Bezos' rocket",2,2,4,3,2,4,"Lifestyle","Tech","","Fact-checked for accuracy",4,4,3,2,2,NA,128849,"How the Ross Park Mall is thriving in a landscape of dying malls",0,1,2,4,3,2,4,4,4,4,4,3
341,2,180,"{""main_article_id"": 16, ""main_article_stable_id"": ""142537"", ""main_article_title"": ""The Ashes 2025-26: Insight, analysis and a new signing for The Athletic"", ""selected_recommendation_id"": 47, ""selected_recommendation_stable_id"": ""129659"", ""selected_recommendation_title"": ""\u2018Like Houdini': Another Caleb Williams magic trick rescues Bears in thrilling win"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [47, 55], ""recommendations_labels"": {""47"": """", ""55"": """"}, ""recommendations_stable_ids"": [""129659"", ""128859""], ""recommendations_titles"": [""\u2018Like Houdini': Another Caleb Williams magic trick rescues Bears in thrilling win"", ""Sports card shops are evolving \u2014 thanks in part to a Greek import""], ""ratings"": {""likelihood_47"": ""5"", ""preference_fit_47"": ""5"", ""constructive_47"": ""4"", ""understandable_47"": ""5"", ""trustworthy_47"": ""5"", ""relevant_47"": ""5"", ""likelihood_55"": ""3"", ""preference_fit_55"": ""2"", ""constructive_55"": ""5"", ""understandable_55"": ""4"", ""trustworthy_55"": ""4"", ""relevant_55"": ""3"", ""label_understandable"": """", ""label_useful"": """", ""label_influenced"": """", ""label_attention"": """", ""label_more"": """", ""rb_attention_check"": ""1"", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""5"", ""low_constructive"": ""5"", ""high_constructive"": ""4"", ""low_understandable"": ""4"", ""high_understandable"": ""5"", ""low_trustworthy"": ""4"", ""high_trustworthy"": ""5"", ""low_relevant"": ""3"", ""high_relevant"": ""5""}}",142537,"The Ashes 2025-26: Insight, analysis and a new signing for The Athletic","Sports",129659,"‘Like Houdini': Another Caleb Williams magic trick rescues Bears in thrilling win",5,5,4,5,5,5,128859,"Sports card shops are evolving — thanks in part to a Greek import",3,2,5,4,4,3,"Sports","Lifestyle","","",NA,NA,NA,NA,NA,1,129659,"‘Like Houdini': Another Caleb Williams magic trick rescues Bears in thrilling win",0,1,2,5,4,4,3,5,4,5,5,5
342,2,181,"{""main_article_id"": 55, ""main_article_stable_id"": ""128859"", ""main_article_title"": ""Sports card shops are evolving \u2014 thanks in part to a Greek import"", ""selected_recommendation_id"": 54, ""selected_recommendation_stable_id"": ""128849"", ""selected_recommendation_title"": ""How the Ross Park Mall is thriving in a landscape of dying malls"", ""selected_recommendation_pos"": 0, ""changing_label_rec_pos"": 1, ""recommendations"": [54, 63], ""recommendations_labels"": {""54"": """", ""63"": ""Fact-checked for accuracy""}, ""recommendations_stable_ids"": [""128849"", ""133123""], ""recommendations_titles"": [""How the Ross Park Mall is thriving in a landscape of dying malls"", ""New Glenn launch: NASA's Escapade mission to Mars brings the next big test for Jeff Bezos' rocket""], ""ratings"": {""likelihood_54"": ""2"", ""preference_fit_54"": ""4"", ""constructive_54"": ""4"", ""understandable_54"": ""4"", ""trustworthy_54"": ""4"", ""relevant_54"": ""3"", ""likelihood_63"": ""2"", ""preference_fit_63"": ""2"", ""constructive_63"": ""4"", ""understandable_63"": ""3"", ""trustworthy_63"": ""2"", ""relevant_63"": ""4"", ""label_understandable"": ""4"", ""label_useful"": ""4"", ""label_influenced"": ""3"", ""label_attention"": ""2"", ""label_more"": ""2"", ""rb_attention_check"": """", ""low_preference_fit"": ""2"", ""high_preference_fit"": ""4"", ""low_constructive"": ""4"", ""high_constructive"": ""4"", ""low_understandable"": ""3"", ""high_understandable"": ""4"", ""low_trustworthy"": ""2"", ""high_trustworthy"": ""4"", ""low_relevant"": ""4"", ""high_relevant"": ""3""}}",128859,"Sports card shops are evolving — thanks in part to a Greek import","Lifestyle",128849,"How the Ross Park Mall is thriving in a landscape of dying malls",2,4,4,4,4,3,133123,"New Glenn launch: NASA's Escapade mission to Mars brings the next big test for Jeff Bezos' rocket",2,2,4,3,2,4,"Lifestyle","Tech","","Fact-checked for accuracy",4,4,3,2,2,NA,128849,"How the Ross Park Mall is thriving in a landscape of dying malls",0,1,2,4,3,2,4,4,4,4,4,3
